                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1087,                 2.7423,                  1.283,                0.51227,                 0.2973,                0.28935,                 0.1753,                0.57608,                 2.8129,                 1.0513,                  2e-05,                  2e-05,                  2e-05
                      2,                0.81912,                 1.5692,                 1.1713,                0.95613,                0.78378,                0.89128,                0.80331,                0.40449,                 1.1471,                 0.9395,               4.02e-05,               4.02e-05,               4.02e-05
                      3,                0.66921,                 1.4691,                 1.0725,                0.96681,                0.78742,                0.94075,                 0.8597,                0.39458,                 1.1208,                 0.9098,                3.4e-05,                3.4e-05,                3.4e-05
